selection_method,n_rows,n_features,n_clusters,selected_feature,dbi_selected_feature,corr_selected_feature,computation_time_sec,the_ground_truth,dbi_ground_truth_feature,corr_ground_truth_feature,dataset_id,seed,target,relationship_mode
abs_pearson,100,300,3,f_1_c_3,9.104,0.901,0.011,f_1_c_3,9.104,0.901,1,0,f_1_c_1,default_nonlinear
min_dbi,100,300,3,f_18_c_2,8.407,-0.01,0.063,f_1_c_3,9.104,0.901,1,0,f_1_c_1,default_nonlinear
shap,100,300,3,f_1_c_3,9.104,0.901,0.392,f_1_c_3,9.104,0.901,1,0,f_1_c_1,default_nonlinear
mi,100,300,3,f_1_c_3,9.104,0.901,0.163,f_1_c_3,9.104,0.901,1,0,f_1_c_1,default_nonlinear
abs_pearson,100,300,3,f_69_c_3,14.218,-0.091,0.011,f_1_c_3,7.255,0.061,2,0,f_1_c_1,non_monotonic_strong
min_dbi,100,300,3,f_1_c_3,7.255,0.061,0.054,f_1_c_3,7.255,0.061,2,0,f_1_c_1,non_monotonic_strong
shap,100,300,3,f_1_c_3,7.255,0.061,0.519,f_1_c_3,7.255,0.061,2,0,f_1_c_1,non_monotonic_strong
mi,100,300,3,f_1_c_3,7.255,0.061,0.146,f_1_c_3,7.255,0.061,2,0,f_1_c_1,non_monotonic_strong
abs_pearson,100,300,3,f_1_c_3,8.147,0.793,0.017,f_1_c_3,8.147,0.793,3,1,f_1_c_1,default_nonlinear
min_dbi,100,300,3,f_38_c_3,7.917,-0.049,0.075,f_1_c_3,8.147,0.793,3,1,f_1_c_1,default_nonlinear
shap,100,300,3,f_1_c_3,8.147,0.793,0.374,f_1_c_3,8.147,0.793,3,1,f_1_c_1,default_nonlinear
mi,100,300,3,f_1_c_3,8.147,0.793,0.154,f_1_c_3,8.147,0.793,3,1,f_1_c_1,default_nonlinear
abs_pearson,100,300,3,f_75_c_2,16.045,-0.181,0.011,f_1_c_3,3.696,-0.091,4,1,f_1_c_1,non_monotonic_strong
min_dbi,100,300,3,f_1_c_3,3.696,-0.091,0.043,f_1_c_3,3.696,-0.091,4,1,f_1_c_1,non_monotonic_strong
shap,100,300,3,f_1_c_3,3.696,-0.091,0.547,f_1_c_3,3.696,-0.091,4,1,f_1_c_1,non_monotonic_strong
mi,100,300,3,f_1_c_3,3.696,-0.091,0.154,f_1_c_3,3.696,-0.091,4,1,f_1_c_1,non_monotonic_strong
abs_pearson,100,300,3,f_1_c_3,7.987,0.817,0.011,f_1_c_3,7.987,0.817,5,2,f_1_c_1,default_nonlinear
min_dbi,100,300,3,f_1_c_3,7.987,0.817,0.05,f_1_c_3,7.987,0.817,5,2,f_1_c_1,default_nonlinear
shap,100,300,3,f_1_c_3,7.987,0.817,0.455,f_1_c_3,7.987,0.817,5,2,f_1_c_1,default_nonlinear
mi,100,300,3,f_1_c_3,7.987,0.817,0.163,f_1_c_3,7.987,0.817,5,2,f_1_c_1,default_nonlinear
abs_pearson,100,300,3,f_76_c_2,28.23,0.223,0.011,f_1_c_3,3.651,-0.089,6,2,f_1_c_1,non_monotonic_strong
min_dbi,100,300,3,f_1_c_3,3.651,-0.089,0.06,f_1_c_3,3.651,-0.089,6,2,f_1_c_1,non_monotonic_strong
shap,100,300,3,f_55_c_3,19.514,-0.042,0.486,f_1_c_3,3.651,-0.089,6,2,f_1_c_1,non_monotonic_strong
mi,100,300,3,f_1_c_3,3.651,-0.089,0.165,f_1_c_3,3.651,-0.089,6,2,f_1_c_1,non_monotonic_strong
abs_pearson,100,300,3,f_1_c_3,9.697,0.866,0.011,f_1_c_3,9.697,0.866,7,3,f_1_c_1,default_nonlinear
min_dbi,100,300,3,f_31_c_3,7.087,-0.059,0.058,f_1_c_3,9.697,0.866,7,3,f_1_c_1,default_nonlinear
shap,100,300,3,f_1_c_3,9.697,0.866,0.467,f_1_c_3,9.697,0.866,7,3,f_1_c_1,default_nonlinear
mi,100,300,3,f_1_c_3,9.697,0.866,0.158,f_1_c_3,9.697,0.866,7,3,f_1_c_1,default_nonlinear
abs_pearson,100,300,3,f_28_c_2,11.427,0.151,0.011,f_1_c_3,8.377,0.049,8,3,f_1_c_1,non_monotonic_strong
min_dbi,100,300,3,f_31_c_3,7.087,-0.059,0.063,f_1_c_3,8.377,0.049,8,3,f_1_c_1,non_monotonic_strong
shap,100,300,3,f_14_c_3,12.61,-0.12,0.549,f_1_c_3,8.377,0.049,8,3,f_1_c_1,non_monotonic_strong
mi,100,300,3,f_1_c_3,8.377,0.049,0.152,f_1_c_3,8.377,0.049,8,3,f_1_c_1,non_monotonic_strong
abs_pearson,100,300,3,f_1_c_3,12.484,0.855,0.017,f_1_c_3,12.484,0.855,9,4,f_1_c_1,default_nonlinear
min_dbi,100,300,3,f_1_c_3,12.484,0.855,0.06,f_1_c_3,12.484,0.855,9,4,f_1_c_1,default_nonlinear
shap,100,300,3,f_1_c_3,12.484,0.855,0.423,f_1_c_3,12.484,0.855,9,4,f_1_c_1,default_nonlinear
mi,100,300,3,f_1_c_3,12.484,0.855,0.172,f_1_c_3,12.484,0.855,9,4,f_1_c_1,default_nonlinear
abs_pearson,100,300,3,f_73_c_2,20.871,-0.172,0.012,f_1_c_3,7.324,0.031,10,4,f_1_c_1,non_monotonic_strong
min_dbi,100,300,3,f_1_c_3,7.324,0.031,0.056,f_1_c_3,7.324,0.031,10,4,f_1_c_1,non_monotonic_strong
shap,100,300,3,f_1_c_3,7.324,0.031,0.469,f_1_c_3,7.324,0.031,10,4,f_1_c_1,non_monotonic_strong
mi,100,300,3,f_1_c_3,7.324,0.031,0.159,f_1_c_3,7.324,0.031,10,4,f_1_c_1,non_monotonic_strong
abs_pearson,1000,300,3,f_1_c_3,17.734,0.878,0.012,f_1_c_3,17.734,0.878,11,0,f_1_c_1,default_nonlinear
min_dbi,1000,300,3,f_1_c_3,17.734,0.878,0.087,f_1_c_3,17.734,0.878,11,0,f_1_c_1,default_nonlinear
shap,1000,300,3,f_1_c_3,17.734,0.878,25.519,f_1_c_3,17.734,0.878,11,0,f_1_c_1,default_nonlinear
mi,1000,300,3,f_1_c_3,17.734,0.878,0.771,f_1_c_3,17.734,0.878,11,0,f_1_c_1,default_nonlinear
abs_pearson,1000,300,3,f_96_c_2,33.664,0.034,0.014,f_1_c_3,11.431,0.01,12,0,f_1_c_1,non_monotonic_strong
min_dbi,1000,300,3,f_1_c_3,11.431,0.01,0.088,f_1_c_3,11.431,0.01,12,0,f_1_c_1,non_monotonic_strong
shap,1000,300,3,f_1_c_3,11.431,0.01,80.38,f_1_c_3,11.431,0.01,12,0,f_1_c_1,non_monotonic_strong
mi,1000,300,3,f_1_c_3,11.431,0.01,0.718,f_1_c_3,11.431,0.01,12,0,f_1_c_1,non_monotonic_strong
abs_pearson,1000,300,3,f_1_c_3,15.368,0.877,0.011,f_1_c_3,15.368,0.877,13,1,f_1_c_1,default_nonlinear
min_dbi,1000,300,3,f_1_c_3,15.368,0.877,0.054,f_1_c_3,15.368,0.877,13,1,f_1_c_1,default_nonlinear
shap,1000,300,3,f_1_c_3,15.368,0.877,42.646,f_1_c_3,15.368,0.877,13,1,f_1_c_1,default_nonlinear
mi,1000,300,3,f_1_c_3,15.368,0.877,0.73,f_1_c_3,15.368,0.877,13,1,f_1_c_1,default_nonlinear
abs_pearson,1000,300,3,f_23_c_3,44.757,0.066,0.011,f_1_c_3,7.628,0.039,14,1,f_1_c_1,non_monotonic_strong
min_dbi,1000,300,3,f_1_c_3,7.628,0.039,0.064,f_1_c_3,7.628,0.039,14,1,f_1_c_1,non_monotonic_strong
shap,1000,300,3,f_1_c_3,7.628,0.039,63.793,f_1_c_3,7.628,0.039,14,1,f_1_c_1,non_monotonic_strong
mi,1000,300,3,f_1_c_3,7.628,0.039,0.782,f_1_c_3,7.628,0.039,14,1,f_1_c_1,non_monotonic_strong
abs_pearson,1000,300,3,f_1_c_3,22.792,0.872,0.013,f_1_c_3,22.792,0.872,15,2,f_1_c_1,default_nonlinear
min_dbi,1000,300,3,f_1_c_3,22.792,0.872,0.103,f_1_c_3,22.792,0.872,15,2,f_1_c_1,default_nonlinear
shap,1000,300,3,f_1_c_3,22.792,0.872,28.158,f_1_c_3,22.792,0.872,15,2,f_1_c_1,default_nonlinear
mi,1000,300,3,f_1_c_3,22.792,0.872,2.589,f_1_c_3,22.792,0.872,15,2,f_1_c_1,default_nonlinear
abs_pearson,1000,300,3,f_1_c_3,16.353,0.081,0.247,f_1_c_3,16.353,0.081,16,2,f_1_c_1,non_monotonic_strong
min_dbi,1000,300,3,f_1_c_3,16.353,0.081,1.174,f_1_c_3,16.353,0.081,16,2,f_1_c_1,non_monotonic_strong
shap,1000,300,3,f_1_c_3,16.353,0.081,186.354,f_1_c_3,16.353,0.081,16,2,f_1_c_1,non_monotonic_strong
mi,1000,300,3,f_1_c_3,16.353,0.081,1.187,f_1_c_3,16.353,0.081,16,2,f_1_c_1,non_monotonic_strong
abs_pearson,1000,300,3,f_1_c_3,39.004,0.841,0.019,f_1_c_3,39.004,0.841,17,3,f_1_c_1,default_nonlinear
min_dbi,1000,300,3,f_74_c_3,25.161,-0.029,0.168,f_1_c_3,39.004,0.841,17,3,f_1_c_1,default_nonlinear
shap,1000,300,3,f_1_c_3,39.004,0.841,108.755,f_1_c_3,39.004,0.841,17,3,f_1_c_1,default_nonlinear
mi,1000,300,3,f_1_c_3,39.004,0.841,1.748,f_1_c_3,39.004,0.841,17,3,f_1_c_1,default_nonlinear
abs_pearson,1000,300,3,f_86_c_2,81.755,0.097,0.095,f_1_c_3,17.7,-0.025,18,3,f_1_c_1,non_monotonic_strong
min_dbi,1000,300,3,f_1_c_3,17.7,-0.025,0.353,f_1_c_3,17.7,-0.025,18,3,f_1_c_1,non_monotonic_strong
shap,1000,300,3,f_1_c_3,17.7,-0.025,193.004,f_1_c_3,17.7,-0.025,18,3,f_1_c_1,non_monotonic_strong
mi,1000,300,3,f_1_c_3,17.7,-0.025,2.354,f_1_c_3,17.7,-0.025,18,3,f_1_c_1,non_monotonic_strong
abs_pearson,1000,300,3,f_1_c_3,10.084,0.783,0.055,f_1_c_3,10.084,0.783,19,4,f_1_c_1,default_nonlinear
min_dbi,1000,300,3,f_1_c_3,10.084,0.783,0.345,f_1_c_3,10.084,0.783,19,4,f_1_c_1,default_nonlinear
shap,1000,300,3,f_1_c_3,10.084,0.783,109.166,f_1_c_3,10.084,0.783,19,4,f_1_c_1,default_nonlinear
mi,1000,300,3,f_1_c_3,10.084,0.783,2.407,f_1_c_3,10.084,0.783,19,4,f_1_c_1,default_nonlinear
abs_pearson,1000,300,3,f_79_c_2,49.702,0.077,0.064,f_1_c_3,7.849,0.024,20,4,f_1_c_1,non_monotonic_strong
min_dbi,1000,300,3,f_1_c_3,7.849,0.024,0.349,f_1_c_3,7.849,0.024,20,4,f_1_c_1,non_monotonic_strong
shap,1000,300,3,f_1_c_3,7.849,0.024,249.156,f_1_c_3,7.849,0.024,20,4,f_1_c_1,non_monotonic_strong
mi,1000,300,3,f_1_c_3,7.849,0.024,2.266,f_1_c_3,7.849,0.024,20,4,f_1_c_1,non_monotonic_strong
abs_pearson,1000,3000,30,f_1_c_3,35.561,0.855,0.489,f_1_c_3,35.561,0.855,21,0,f_1_c_1,default_nonlinear
min_dbi,1000,3000,30,f_48_c_23,31.901,0.02,3.464,f_1_c_3,35.561,0.855,21,0,f_1_c_1,default_nonlinear
shap,1000,3000,30,f_1_c_3,35.561,0.855,115.724,f_1_c_3,35.561,0.855,21,0,f_1_c_1,default_nonlinear
mi,1000,3000,30,f_1_c_3,35.561,0.855,34.368,f_1_c_3,35.561,0.855,21,0,f_1_c_1,default_nonlinear
abs_pearson,1000,3000,30,f_50_c_24,58.774,0.102,0.601,f_1_c_3,11.356,-0.023,22,0,f_1_c_1,non_monotonic_strong
min_dbi,1000,3000,30,f_1_c_3,11.356,-0.023,4.174,f_1_c_3,11.356,-0.023,22,0,f_1_c_1,non_monotonic_strong
shap,1000,3000,30,f_1_c_3,11.356,-0.023,274.015,f_1_c_3,11.356,-0.023,22,0,f_1_c_1,non_monotonic_strong
mi,1000,3000,30,f_1_c_3,11.356,-0.023,34.288,f_1_c_3,11.356,-0.023,22,0,f_1_c_1,non_monotonic_strong
abs_pearson,1000,3000,30,f_1_c_3,16.7,0.823,0.746,f_1_c_3,16.7,0.823,23,1,f_1_c_1,default_nonlinear
min_dbi,1000,3000,30,f_1_c_3,16.7,0.823,3.719,f_1_c_3,16.7,0.823,23,1,f_1_c_1,default_nonlinear
shap,1000,3000,30,f_1_c_3,16.7,0.823,227.909,f_1_c_3,16.7,0.823,23,1,f_1_c_1,default_nonlinear
mi,1000,3000,30,f_1_c_3,16.7,0.823,33.693,f_1_c_3,16.7,0.823,23,1,f_1_c_1,default_nonlinear
abs_pearson,1000,3000,30,f_30_c_9,59.037,0.089,0.329,f_1_c_3,10.113,0.007,24,1,f_1_c_1,non_monotonic_strong
min_dbi,1000,3000,30,f_1_c_3,10.113,0.007,1.716,f_1_c_3,10.113,0.007,24,1,f_1_c_1,non_monotonic_strong
shap,1000,3000,30,f_1_c_3,10.113,0.007,411.976,f_1_c_3,10.113,0.007,24,1,f_1_c_1,non_monotonic_strong
mi,1000,3000,30,f_1_c_3,10.113,0.007,28.074,f_1_c_3,10.113,0.007,24,1,f_1_c_1,non_monotonic_strong
abs_pearson,1000,3000,30,f_1_c_3,15.249,0.877,0.75,f_1_c_3,15.249,0.877,25,2,f_1_c_1,default_nonlinear
min_dbi,1000,3000,30,f_1_c_3,15.249,0.877,4.965,f_1_c_3,15.249,0.877,25,2,f_1_c_1,default_nonlinear
shap,1000,3000,30,f_1_c_3,15.249,0.877,162.519,f_1_c_3,15.249,0.877,25,2,f_1_c_1,default_nonlinear
mi,1000,3000,30,f_1_c_3,15.249,0.877,34.082,f_1_c_3,15.249,0.877,25,2,f_1_c_1,default_nonlinear
abs_pearson,1000,3000,30,f_46_c_30,39.737,0.101,0.758,f_1_c_3,9.47,0.002,26,2,f_1_c_1,non_monotonic_strong
min_dbi,1000,3000,30,f_1_c_3,9.47,0.002,5.052,f_1_c_3,9.47,0.002,26,2,f_1_c_1,non_monotonic_strong
shap,1000,3000,30,f_1_c_3,9.47,0.002,396.211,f_1_c_3,9.47,0.002,26,2,f_1_c_1,non_monotonic_strong
mi,1000,3000,30,f_1_c_3,9.47,0.002,35.111,f_1_c_3,9.47,0.002,26,2,f_1_c_1,non_monotonic_strong
abs_pearson,1000,3000,30,f_1_c_3,34.584,0.841,0.747,f_1_c_3,34.584,0.841,27,3,f_1_c_1,default_nonlinear
min_dbi,1000,3000,30,f_73_c_7,28.169,-0.01,5.154,f_1_c_3,34.584,0.841,27,3,f_1_c_1,default_nonlinear
shap,1000,3000,30,f_1_c_3,34.584,0.841,213.252,f_1_c_3,34.584,0.841,27,3,f_1_c_1,default_nonlinear
mi,1000,3000,30,f_1_c_3,34.584,0.841,29.18,f_1_c_3,34.584,0.841,27,3,f_1_c_1,default_nonlinear
abs_pearson,1000,3000,30,f_37_c_3,58.977,-0.131,0.399,f_1_c_3,19.693,-0.059,28,3,f_1_c_1,non_monotonic_strong
min_dbi,1000,3000,30,f_1_c_3,19.693,-0.059,2.423,f_1_c_3,19.693,-0.059,28,3,f_1_c_1,non_monotonic_strong
shap,1000,3000,30,f_1_c_3,19.693,-0.059,234.465,f_1_c_3,19.693,-0.059,28,3,f_1_c_1,non_monotonic_strong
mi,1000,3000,30,f_1_c_3,19.693,-0.059,18.877,f_1_c_3,19.693,-0.059,28,3,f_1_c_1,non_monotonic_strong
abs_pearson,1000,3000,30,f_1_c_3,13.746,0.858,0.332,f_1_c_3,13.746,0.858,29,4,f_1_c_1,default_nonlinear
min_dbi,1000,3000,30,f_1_c_3,13.746,0.858,2.188,f_1_c_3,13.746,0.858,29,4,f_1_c_1,default_nonlinear
shap,1000,3000,30,f_1_c_3,13.746,0.858,77.679,f_1_c_3,13.746,0.858,29,4,f_1_c_1,default_nonlinear
mi,1000,3000,30,f_1_c_3,13.746,0.858,24.12,f_1_c_3,13.746,0.858,29,4,f_1_c_1,default_nonlinear
abs_pearson,1000,3000,30,f_59_c_14,76.554,-0.111,0.443,f_1_c_3,7.443,-0.03,30,4,f_1_c_1,non_monotonic_strong
min_dbi,1000,3000,30,f_1_c_3,7.443,-0.03,2.616,f_1_c_3,7.443,-0.03,30,4,f_1_c_1,non_monotonic_strong
shap,1000,3000,30,f_1_c_3,7.443,-0.03,261.295,f_1_c_3,7.443,-0.03,30,4,f_1_c_1,non_monotonic_strong
mi,1000,3000,30,f_1_c_3,7.443,-0.03,20.591,f_1_c_3,7.443,-0.03,30,4,f_1_c_1,non_monotonic_strong
